Date,Open,High,Low,Close,Adj Close,Volume
2007-09-07,19.025000,19.290001,18.764999,19.290001,19.290001,793200
2007-09-10,19.340000,19.459999,18.860001,19.415001,19.415001,740000
2007-09-11,19.440001,20.094999,19.385000,20.035000,20.035000,810000
2007-09-12,19.875000,20.805000,19.795000,20.584999,20.584999,970800
2007-09-13,20.799999,20.799999,20.375000,20.424999,20.424999,620000
2007-09-14,20.340000,21.049999,20.340000,20.725000,20.725000,552200
2007-09-17,20.709999,20.780001,20.195000,20.370001,20.370001,1027200
2007-09-18,20.520000,21.475000,20.219999,21.270000,21.270000,1018200
2007-09-19,21.540001,22.195000,21.500000,21.605000,21.605000,931200
2007-09-20,21.580000,21.844999,21.430000,21.764999,21.764999,373400
2007-09-21,21.940001,22.280001,21.525000,22.245001,22.245001,903000
2007-09-24,22.150000,22.290001,21.535000,21.790001,21.790001,727600
2007-09-25,21.450001,21.590000,21.195000,21.424999,21.424999,506800
2007-09-26,21.575001,21.745001,20.985001,21.395000,21.395000,842400
2007-09-27,21.575001,22.049999,21.504999,21.934999,21.934999,626400
2007-09-28,22.100000,22.570000,22.004999,22.225000,22.225000,905600
2007-10-01,22.225000,22.660000,22.045000,22.485001,22.485001,687200
2007-10-02,22.750000,23.629999,22.645000,23.530001,23.530001,1707200
2007-10-03,23.475000,23.809999,23.225000,23.379999,23.379999,869200
2007-10-04,23.535000,23.785000,22.969999,23.745001,23.745001,830600
2007-10-05,24.174999,24.434999,24.025000,24.184999,24.184999,822800
2007-10-08,24.000000,24.264999,23.725000,23.830000,23.830000,629600
2007-10-09,24.000000,24.719999,23.924999,24.500000,24.500000,1035400
2007-10-10,24.275000,24.965000,24.275000,24.860001,24.860001,772200
2007-10-11,25.000000,25.805000,24.565001,25.090000,25.090000,1698200
2007-10-12,24.985001,25.635000,24.959999,25.305000,25.305000,800600
2007-10-15,25.504999,25.610001,25.014999,25.235001,25.235001,467200
2007-10-16,25.200001,25.674999,25.129999,25.370001,25.370001,611400
2007-10-17,25.695000,25.695000,24.834999,25.155001,25.155001,822600
2007-10-18,24.950001,25.790001,24.674999,25.790001,25.790001,885000
2007-10-19,25.645000,25.645000,24.754999,24.830000,24.830000,671000
2007-10-22,24.549999,24.650000,23.945000,24.545000,24.545000,553200
2007-10-23,24.549999,24.549999,23.799999,24.125000,24.125000,944200
2007-10-24,23.844999,24.334999,23.684999,24.225000,24.225000,1082200
2007-10-25,24.209999,24.795000,23.969999,24.629999,24.629999,1227800
2007-10-26,25.004999,26.000000,25.004999,25.969999,25.969999,1208800
2007-10-29,25.990000,26.090000,25.570000,25.910000,25.910000,575600
2007-10-30,25.924999,26.625000,25.559999,26.055000,26.055000,1293200
2007-10-31,26.055000,27.030001,25.520000,27.030001,27.030001,2210400
2007-11-01,26.549999,27.969999,26.385000,27.080000,27.080000,1907400
2007-11-02,27.549999,27.709999,26.615000,27.270000,27.270000,1237200
2007-11-05,26.725000,28.000000,26.629999,27.680000,27.680000,1396000
2007-11-06,27.750000,29.115000,27.750000,28.799999,28.799999,1951000
2007-11-07,28.450001,29.530001,28.014999,28.084999,28.084999,2056400
2007-11-08,28.385000,28.719999,27.504999,28.080000,28.080000,1585800
2007-11-09,27.825001,28.270000,27.455000,27.730000,27.730000,943400
2007-11-12,27.325001,27.325001,25.965000,26.219999,26.219999,1296000
2007-11-13,26.500000,26.840000,26.004999,26.635000,26.635000,1085400
2007-11-14,26.915001,27.625000,26.594999,26.775000,26.775000,1189800
2007-11-15,26.594999,27.090000,26.040001,26.424999,26.424999,768000
2007-11-16,26.490000,26.850000,26.080000,26.480000,26.480000,965600
2007-11-19,26.280001,26.450001,25.629999,26.084999,26.084999,840800
2007-11-20,26.035000,26.525000,25.740000,26.340000,26.340000,1466600
2007-11-21,26.240000,26.674999,25.934999,26.010000,26.010000,847600
2007-11-23,26.325001,26.924999,25.920000,26.629999,26.629999,193800
2007-11-26,26.530001,27.000000,25.780001,25.805000,25.805000,592400
2007-11-27,25.674999,25.754999,24.809999,25.400000,25.400000,842000
2007-11-28,25.700001,25.945000,24.924999,25.584999,25.584999,910200
2007-11-29,25.684999,26.080000,25.410000,25.865000,25.865000,832400
2007-11-30,25.905001,26.495001,25.430000,26.360001,26.360001,1551000
2007-12-03,26.035000,26.610001,25.910000,26.450001,26.450001,703200
2007-12-04,26.190001,26.465000,25.695000,26.375000,26.375000,1014600
2007-12-05,26.719999,27.275000,26.459999,26.844999,26.844999,1159800
2007-12-06,27.000000,27.990000,26.924999,27.695000,27.695000,1028400
2007-12-07,27.575001,27.620001,27.059999,27.240000,27.240000,606600
2007-12-10,27.250000,27.490000,27.040001,27.350000,27.350000,616000
2007-12-11,27.299999,27.639999,26.415001,26.700001,26.700001,1336400
2007-12-12,27.490000,28.145000,27.155001,27.889999,27.889999,1150800
2007-12-13,27.594999,27.620001,27.004999,27.315001,27.315001,699800
2007-12-14,26.924999,27.299999,26.809999,27.030001,27.030001,1156600
2007-12-17,26.915001,27.440001,26.190001,26.340000,26.340000,786000
2007-12-18,26.795000,27.105000,26.450001,26.975000,26.975000,1151000
2007-12-19,26.875000,27.480000,26.875000,27.385000,27.385000,916200
2007-12-20,27.549999,28.219999,27.375000,28.129999,28.129999,944600
2007-12-21,28.695000,28.830000,28.424999,28.549999,28.549999,1270000
2007-12-24,28.900000,29.170000,28.360001,28.799999,28.799999,296400
2007-12-26,28.850000,29.065001,28.535000,28.865000,28.865000,763800
2007-12-27,28.850000,29.035000,28.680000,28.795000,28.795000,569000
2007-12-28,29.285000,29.285000,28.530001,28.895000,28.895000,622400
2007-12-31,29.139999,29.139999,28.500000,28.830000,28.830000,572600
2008-01-02,28.730000,29.350000,28.730000,29.065001,29.065001,1022600
2008-01-03,29.180000,29.805000,28.760000,28.990000,28.990000,1689200
2008-01-04,28.770000,28.770000,27.825001,27.930000,27.930000,1209800
2008-01-07,28.110001,28.320000,27.400000,27.965000,27.965000,1124600
2008-01-08,28.190001,29.200001,28.190001,28.375000,28.375000,1198000
2008-01-09,28.299999,28.990000,28.150000,28.969999,28.969999,962000
2008-01-10,28.525000,29.344999,28.084999,29.110001,29.110001,2293200
2008-01-11,29.014999,29.450001,28.709999,29.045000,29.045000,860200
2008-01-14,29.405001,29.715000,29.285000,29.525000,29.525000,682200
2008-01-15,29.299999,29.440001,28.395000,28.629999,28.629999,1043200
2008-01-16,28.684999,28.815001,27.010000,27.690001,27.690001,1126200
2008-01-17,27.815001,28.400000,25.535000,25.645000,25.645000,1970000
2008-01-18,25.535000,25.580000,24.139999,24.955000,24.955000,3160600
2008-01-22,24.055000,24.850000,23.410000,24.459999,24.459999,1241000
2008-01-23,23.754999,24.475000,22.299999,23.424999,23.424999,2136600
2008-01-24,23.365000,24.760000,23.105000,24.584999,24.584999,1457400
2008-01-25,24.834999,25.870001,24.750000,24.965000,24.965000,1352200
2008-01-28,25.850000,26.450001,25.415001,26.389999,26.389999,1698400
2008-01-29,26.360001,26.900000,25.965000,26.900000,26.900000,1939000
2008-01-30,26.584999,27.275000,26.424999,26.500000,26.500000,1234600
2008-01-31,26.355000,27.365000,25.559999,26.895000,26.895000,2569800
2008-02-01,26.920000,27.225000,26.540001,26.990000,26.990000,1393200
2008-02-04,26.860001,27.545000,26.575001,27.365000,27.365000,798600
2008-02-05,26.924999,27.094999,26.070000,26.080000,26.080000,584400
2008-02-06,26.340000,26.420000,25.594999,25.709999,25.709999,1090000
2008-02-07,25.500000,26.834999,25.445000,26.700001,26.700001,1664400
2008-02-08,26.690001,27.465000,26.535000,27.325001,27.325001,1068600
2008-02-11,27.280001,28.160000,27.110001,28.040001,28.040001,884600
2008-02-12,28.049999,28.434999,27.490000,27.830000,27.830000,764800
2008-02-13,28.160000,28.580000,27.715000,28.530001,28.530001,777000
2008-02-14,28.670000,28.995001,28.575001,28.760000,28.760000,1003200
2008-02-15,28.575001,28.750000,27.639999,27.945000,27.945000,977000
2008-02-19,28.424999,28.885000,28.299999,28.690001,28.690001,1125800
2008-02-20,28.440001,29.360001,28.410000,29.059999,29.059999,994400
2008-02-21,29.325001,29.325001,28.170000,28.240000,28.240000,679400
2008-02-22,28.225000,28.920000,27.535000,28.760000,28.760000,1031600
2008-02-25,28.990000,30.000000,28.844999,30.000000,30.000000,1069600
2008-02-26,29.745001,30.809999,29.370001,30.424999,30.424999,1254600
2008-02-27,30.445000,30.900000,29.535000,30.485001,30.485001,1609200
2008-02-28,31.475000,31.795000,30.655001,31.065001,31.065001,1766400
2008-02-29,30.785000,30.969999,30.174999,30.610001,30.610001,1275400
2008-03-03,30.750000,31.290001,29.809999,30.485001,30.485001,1618200
2008-03-04,30.290001,30.540001,28.674999,29.510000,29.510000,1587000
2008-03-05,29.820000,30.924999,29.775000,30.834999,30.834999,1224800
2008-03-06,30.995001,31.645000,29.705000,29.709999,29.709999,1425800
2008-03-07,29.520000,29.945000,28.980000,29.639999,29.639999,1083800
